stage,tags,title,introdustion,time_max,method,image,time
중학생 이상,인공지능,AICOSS 캠퍼스 탐구생활,AI 전공-특화 교과목(20-20)을 메타버스 캠퍼스에서 페험하고 숨겨진 미션을 해결하고 보상받자!,10분,현장접수,/assets/전시회장 사진/AICOSS 메타버스캠퍼스 체험.,10:00 ~ 17:00
초등학생 고학년 이상,인공지능,3분 아티스트 - 나만의 AI 아트 팝업 갤러리,카메라에 찍힌 내 얼굴이 단 3분만에 영화 스타일의 미디어 아트로 변신!,10분,현장접수,/assets/전시회장 사진/AI를 활용한 캐리커쳐 체험.png,10:00 ~ 17:00
초등학생 고학년 이상,인공지능,우리동네 AI 안전교실 체험,아이들의 행동을 AI가 즉시 분석하고 안전리포트를 만들어주는 실시간 체험,10분,현장접수,,10:00 ~ 17:00
중학생 이상,인공지능,AI를 활용한 명화 속 몰입체험,AI를 활용한 명화 속 몰입체험- 본인의 얼굴을 촬영하여 명화 작품속에 투영,5분,현장접수,/assets/전시회장 사진/AI를 활용한 명화속 몰입체험.png,10:00 ~ 17:00

고등학생 이상,데이터보안 활용융합,Drone Under Attack: 하늘 위의 드론 위협,하늘 위에서 벌어지는 사이버 위협의 실체를 직접 체험해보세요!,15분,현장접수 / 사전접수,/assets/전시회장 사진/Drone Under Attack 하늘 위의 드론 위협.png,10:00 ~ 17:00
중학생 이상,데이터보안 활용융합,우리의 친절한 로봇의 반란,"해커의 손에 넘어가 멈추고 조작되는 순간, 로봇 해킹의 실체를 체험!",15분,현장접수 / 사전접수,/assets/전시회장 사진/우리의 친절한 로봇의 반란.png,10:00 ~ 17:00
중학생 이상,데이터보안 활용융합,"탈출하라, 사이버 보안 위기속 탈출기",주변 단서를 조합해 사이버 위기 속 위협을 탈출하는 방탈출 게임!,30분,현장접수 / 사전접수,/assets/전시회장 사진/탈출하라 사이버 보안 위기속 탈출기.png,10:00 ~ 17:00
중학생 이상,데이터보안 활용융합,해킹이 부른 의료 사고,실제 의료기기 해킹 시연으로 환자 생명에 미치는 치명적 위험을 확인!,10분,현장접수 / 사전접수,/assets/전시회장 사진/해킹이 부른 의료 사고.png,10:00 ~ 17:00
초등학생 이상,데이터보안 활용융합,AI가 만든 가짜를 잡아라,숨은 단서를 찾아 AI가 만든 가짜와 사람의 진짜를 구분해보세요.,10분,현장접수 / 사전접수,/assets/전시회장 사진/AI가 만든 가짜를 잡아라.png,10:00 ~ 17:00
초등학생 이상,데이터보안 활용융합,"스마트홈 캠 해킹, 누군가 지켜보고 있다.",스마트홈 해킹 시연을 통해 사생활 침해의 실체를 확인하세요.,10분,현장접수 / 사전접수,/assets/전시회장 사진/스마트홈 캠 해킹 누군가 지켜보고 있다.png,10:00 ~ 17:00

고등학생 이상,차세대 디스플레이,차세대디스플레이 공정 XR 체험,"디스플레이 6.5G 공정 프로세스(증착기 내부, 실제 크기 등)을 체험",10분,현장접수,,10:00 ~ 17:00
초등학생 이상,차세대 디스플레이,T-OLED 액자,투명 OLED를 사용하여 원하는 이미지를 액자로 찰칵!,5분,현장접수,,10:00 ~ 17:00
초등학생 이상,차세대 디스플레이,키네틱LED Interactive,실시간 동작 감지로 키네틱LED를 체험,10분,현장접수,,10:00 ~ 17:00

누구나,반도체 소부장,반도체 장비를 분해해보자,"반도체를 만드는 장비 내부를 보고, 뜯고, 조립해보는 VR 체험",15~30분,현장접수 / 사전접수,/assets/전시회장 사진/반도체를 분해해보자.png,10:00 ~ 18:00

누구나,에코업,세종기후환경 네트워크 체험1 · 대기전력과 에너지소비효율등급,가전제품 대기전력과 에너지소비효율등급 알아보기,10분,현장접수 / 사전접수,/assets/전시회장 사진/우리집 알뜰에너지 연구소.png,10:00 ~ 18:00
초등학생 고학년 이상,에코업,에코업 6대 과제 탈출놀이,에코업 6대 과제를 통해 탈출하는 프로그램,15분,현장접수 / 사전접수,/assets/전시회장 사진/방탈출 프로그램 '교수님의 수상한 과제'.png,10:00 ~ 18:00
초등학생 고학년 이상,에코업,세종기후환경네트워크 체험2 LED로 그리는 탄소 중립,탄소중립 조명 만들기(아크릴 LED등 만들기),20분,현장접수 / 사전접수,/assets/전시회장 사진/LED로 그리는 탄소중립.png,10:00 ~ 18:00

누구나,사물 인터넷,"센서가 듣고, AI가 생각한다","센서가 내 목소리와 심장 소리를 읽고, AI가 판단하면 로봇이 곧바로 움직인다. 센서와 AI가 만드는 연결된 세상의 실험실.",5분,현장접수,/assets/전시회장 사진/센서가 듣고 AI가 생각한다.png,10:00 ~ 17:00
중학생 이상,사물 인터넷,스마트음식 디지털 트윈 체험,모바일 로봇과 수질센서를 활용한 자율 환경 관리 체험,30분,현장접수,/assets/전시회장 사진/스마트양식 디지털 트윈 체험 모바일 로봇과 수질센서를 활용한 자율 환경 관리.png,10:00 ~ 17:00
초등학생 고학년 이상,사물 인터넷,AI IoT 스마트 조명,경량 AI와 IoT로 만드는 나만의 스마트 조명,10분,현장접수,/assets/전시회장 사진/공감 조명 오늘 너의 색은.png,10:00 ~ 17:00

누구나,이차전지,이차전지 제조공정 VR체험,"HMD를 착용하고, 이차전지 제조과정에 대한 VR영상을 통한 체험",30분,사전접수,/assets/전시회장 사진/[이차전지 컨소시엄] 교육 프로그램(다면형 실감콘텐츠 영상 체험 및 VR 영상 체험).png,10:00 ~ 17:00
중학생 이상,이차전지,보조배터리 제작 체험 (보조배터리 만들어 봤어? 안 만들어 봤으면 말을 하지마!),보조배터리 툴킷(Toolkit)을 활용한 제작 체험,1시간,사전접수,/assets/전시회장 사진/보조배터리 제작 체험(보조배터리 만들어봤어 안 만들어 봤으면 말을 하지마!).png,10:00 ~ 17:00

누구나,에너지 신산업,플러스에너지 빌딩,건물 자체에서 소비하는 에너지보다 더 많은 에너지를 생산하여 순에너지 이익을 창출하는 차세대 친환경 건물을 직접 체험,10분,현장접수,/assets/전시회장 사진/플러스에너지빌딩.png,10:00 ~ 17:00
중학생 이상,에너지 신산업,수소자동차 롱롱,수소자동차의 원리를 이해하고 직접 만들어보는 체험형 프로그램,40분,사전접수,/assets/전시회장 사진/수소자동차 롱롱.png,10:30 ~ 13:30
중학생 이상,에너지 신산업,수소연료전지 자동차 만들기,수소연료전자의 원리를 이해하고 친환경 자동차를 직접 만들어보는 체험형 교육 프로그램,40분,사전접수,/assets/전시회장 사진/수소연료전지자동차.png,10:30 ~ 13:30
중학생 이상,에너지 신산업,작은발전기,친환경에너지를 이해하고 내손으로 만들어보는 발전기,40분,사전접수,/assets/전시회장 사진/내 손안의 작은 발전기.png,15:00 ~ 17:00
중학생 이상,에너지 신산업,태양광 강아지 로봇 만들기,태양광의 원리를 배우고 직접 전지판 실험 및 강아지로봇 제작을 통해 친환경 에너지를 체험,60분,현장접수 / 사전접수,/assets/전시회장 사진/태양광 강아지 로봇.png,14:00 ~ 16:00
초등학생 이상,에너지 신산업,수소밸류체인 VR 체험 프로그램,VR을 통해 수소 생산부터 활용까지 수소벨류체인의 전 과정을 생생하게 체험,10분,사전접수,/assets/전시회장 사진/수소밸류체인 VR 체험.png,10:00 ~ 17:00
누구나,에너지 신산업,수소 스테이션,수소전기차 등에 연료를 공급하기 위해 수소를 저장·충전하는 인프라 시설 체험,5,/assets/전시회장 사진/수소 스테이션.png,10:00 ~ 17:00
누구나,에너지 신산업,압전에너지,발판 위를 누르면 전력이 생산되어 전력량을 보여주는 압전에너지 체험물,20,현장접수,/assets/전시회장 사진/압전에너지.png,10:00 ~ 17:00
누구나,에너지 신산업,에코루프 키친스테이션,식기세척기와 음식물처리기를 소형 히트펌프로 결합해 폐열을 활용함으로써 에너지 절감·편의성·친환경성을 동시에 구현한 미래형 주방 시스템 체험,5,현장접수,/assets/전시회장 사진/에코루프 키친스테이션.png,10:00 ~ 17:00
누구나,에너지 신산업,태양전지 자동차경주 체험물,태양전지 자동차경주 체험물,20,현장접수,/assets/전시회장 사진/태양전지 자동차경주 체험물.png,10:00 ~ 17:00
누구나,에너지 신산업,태양전지 패널,태양광을 이용해 전력을 생산하며 건물 외장재와 태양광 모듈을 일체화한 친환경 에너지 시스템에 사용되는 태양전지 패널 체험,5,현장접수,/assets/전시회장 사진/태양전지 패널.png,10:00 ~ 17:00
누구나,에너지 신산업,수력 풍력에너지 체험,수력 및 풍력 에너지가 어떻게 생성되어 전기로 돌아오는지 과정을 알 수 있도록 설계된 체험물,5,현장접수,/assets/전시회장 사진/수력 풍력에너지 체험.png,10:00 ~ 17:00

초등학생 이상,지능형 로봇,AI 드론 및 로봇·오목 로봇 체험,로봇과의 오목두기·로봇이 그려주는 캐리커쳐 체험을 선택하여 진행,10분,현장접수,/assets/전시회장 사진/AI 드로잉 로봇 및 오목 로봇 체험.png,10:00 ~ 18:00
초등학생 이상,지능형 로봇,ROBO SHOW,4족 보행로봇·모바일로봇 등을 활용한 로봇쇼,상시,현장접수,/assets/전시회장 사진/ROBO SHOW(4족보행 로봇 및 테미 체험).png,10:00 ~ 18:00
초등학생 이상,지능형 로봇,경주로봇 만들기,경주로봇을 만들어 트랙에서 다른 사람과 경기를 해본다,60분,현장접수,/assets/전시회장 사진/일반인 로봇 교육 프로그램 1(경주로봇 만들기).png,11:00 ~ 12:00
초등학생 고학년 이상,지능형 로봇,청소로봇 만들기,로봇청소기의 원리를 배울 수 있는 자율주행청소로봇 만들기!,60분,사전접수,/assets/전시회장 사진/일반인 로봇 교육 프로그램2(청소로봇 만들기).png,12:00 ~ 13:00
초등학생 고학년 이상,지능형 로봇,자이로 외발주행로봇 만들기,신기방기한 자이로 레일카의 원리에 빠져보아요,60분,사전접수,/assets/전시회장 사진/일반인 교육 프로그램3(자이로 외발주행 로봇 만들기).png,13:00 ~ 14:00
초등학생 고학년 이상,지능형 로봇,유선 스파이더로봇 만들기,유선으로 조종이 가능한 다족로봇을 만들어 보아요,60분,사전접수,/assets/전시회장 사진/일반인 로봇 교육 프로그램4(유선 스파이더로봇 만들기).png,14:00 ~ 15:00
초등학생 고학년 이상,지능형 로봇,로봇아 멍멍해봐,4족보행로봇의 원리를 학습하고 트랙 운행을 통해 로봇의 움직임을 직접 체험하는 프로그램,60분,현장접수,, 
중학생 이상,지능형 로봇,휴머노이드 이론교육 및 미션수행,고성능 소형 휴머노이드의 기본 원리 및 제어법을 교육하고 미션 경기를 직접 수행해 본다.,90분,사전접수,/assets/전시회장 사진/일반인 로봇 교육프로그램5(휴머노이드 이론교육 및 미션수행).png,15:00 ~ 16:30

초등학생 고학년 이상,실감 미디어,꿈의 학교 속으로! 메타버스 캠퍼스 & 콘텐츠 여행,실감 미디어 메타버스 플랫폼을 활용한 대학 캠퍼스 투어 및 우수작품 쇼케이스,10분,현장접수,/assets/전시회장 사진/꿈의 학교 속으로! 메타버스 캠퍼스 & 콘텐츠 여행 (실감미디어 메타버스 플랫폼 투어).png,10:00 ~ 17:00
초등학생 고학년 이상,실감 미디어,“디지털숲 영상 오디세이”,가상현실로 구현된 숲 숲속 기상 변화 등을 배경으로 시각과 청각을 활용해 정신과 신체의 이완을 돕는 명상 프로그램,30분,사전접수,/assets/전시회장 사진/디지털 숲 명상 오디세이.png,10:00 ~ 17:00
초등학생 고학년 이상,실감 미디어,“진짜처럼 짜릿! 햅틱 손맛 체험존”(VR 기반의 햅틱 디바이스 체험),햅틱 디바이스(슈트와 장갑)를 착용한 후 복싱과 롤러코스터 체험,10분,현장접수,/assets/전시회장 사진/진짜처럼 짜릿! 햅틱 손맛 체험존 (VR 기반의 햅틱 디바이스 체험).png,10:00 ~ 17:00
초등학생 고학년 이상,실감 미디어,톡톡 튀는 콘텐츠! 실감 팡팡 체험존,실감미디어 학생들의 독창성 있는 우수 작품들을 직접 체험,10분,현장접수,/assets/전시회장 사진/톡톡 튀는 콘텐츠! 실감 팡팡 체험존 (실감미디어 경진대회 우수작품 체험).png,10:00 ~ 17:00

초등학생 고학년 이상,미래 자동차,AWS DeepRacer 자율주행 체험,자율주행 AI VS 인간 운전 대결 승자는?!,10분,현장접수 / 사전접수,/assets/전시회장 사진/AWS DeepRacer 자율주행 체험.png,10:00 ~ 17:30

초등학생 고학년 이상,항공드론,UAM 조종 시뮬레이터 체험,블록코딩을 활용한 드론 실습 및 체험교육,30분 이내,현장접수 / 사전접수,/assets/전시회장 사진/UAM 조종 시뮬레이터 체험.png,10:00 ~ 17:30
초등학생 고학년 이상,항공드론,드론 장애물 경주 체험,드론을 수동으로 조종하여 다양한 미션을 수행하는 체험 프로그램,30분 이내,현장접수,/assets/전시회장 사진/드론 장애물 경주 체험.png,10:00 ~ 17:30
초등학생 고학년 이상,항공드론,블록코딩을 활용한 드론제어,블록코딩을 활용한 드론 실습 및 체험교육,90분 이내,현장접수 / 사전접수,/assets/전시회장 사진/블록코딩을 활용한 드론제어.png,10:00 ~ 17:30

초등학생 고학년 이상,차세대 반도체,"어서와, 반도체 회로제작은 처음이지?",내 손으로 만들어보는 반도체 PCB자 미니 게임기,30분,현장접수,/assets/전시회장 사진/어서와 반도체 회로제작은 처음이지.png,10:00 ~ 18:00

초등학생 고학년 이상,첨단소재 나노융합,첨단소재워터랩: 모래의 비밀,모래가 씨앗의 수분 공급과 싹틔움에 미치는 원리를 통해 첨단소재의 개념 체험,40분,사전접수,/assets/전시회장 사진/첨단소재워터랩 모링가의 비밀.png,10:00 ~ 17:00
초등학생 이상,첨단소재 나노융합,3D펜으로 만드는 첨단소재 창의공작소,3D펜과 첨단소재로 상상을 입체로 구현하는 창의 체험 프로그램,30분,현장접수,/assets/전시회장 사진/3D펜으로 만드는 첨단소재 창의공작소.png,10:00 ~ 17:00
초등학생 이상,첨단소재 나노융합,손끝에서 펼쳐지는 스트레처블 첨단연구소재,쭈욱 늘어나는 스트레처블(유연 고분자) 소재 과학 체험,40분,사전접수,/assets/전시회장 사진/손끝에서 펼쳐지는 스트레쳐블 첨단유연소재.png,10:00 ~ 17:00

초등학생 이상,그린 바이오,Space Green 우주 농부 인증 미션을 위한 탑승을 시작합니다!,애그테크(Ag-Tech) 접목 우주 농사 체험! 상추 생장 환경을 제어해 우주 농부 인증 받기,25분,현장접수,/assets/전시회장 사진/Space Green 우주 농부 인증 미션을 위한 탑승을 시작합니다!.png,10:00 ~ 17:00

초등학생 이상,바이오 헬스,"기술로 되찾는 움직임, 로봇이 전하는 회복의 미래",첨단 로봇 재활 기기가 만들어가는 새로운 걸음과 삶의 가능성 ,10분,현장접수 / 사전접수,/assets/전시회장 사진/기술로 되찾는 움직임 로봇이 전하는 회복의 미래.png,10:00 ~ 18:00
초등학생 이상,바이오 헬스,"생명의 코드, 우리 몸과 DNA",코끼리 치약부터 DNA추출까지 실험으로 배우는 유전자 과학,60분,사전접수,/assets/전시회장 사진/생명의 코드 우리 몸과 DNA.png,10:00 ~ 18:00
초등학생 이상,바이오 헬스,"이동의 경계를 넘어, 게임으로 확장된 세상",휠체어와 게임이 만드는 새로운 경험과 가능성,4분,현장접수 / 사전접수,/assets/전시회장 사진/이동의 경계를 넘어 게임으로 확장된 세상.png,10:00 ~ 18:00
초등학생 이상,바이오 헬스,"피부 위의 예술, 인체 속의 과학",바디페인팅으로 경험하는 인체과학과 예술,15분,현장접수 / 사전접수,/assets/전시회장 사진/피부 위의 예술 인체 속의 과학.png,10:00 ~ 18:00

초등학생 이상,차세대 통신,인공위성 통신 체험관,인공위성 발사부터 통신까지! 위성 통신 체험하기!,15분,현장접수 / 사전접수,/assets/전시회장 사진/인공위성 통신 체험관.png,10:00 ~ 17:00

초등학생 이상,빅데이터,Scent Memory,나의 취향을 입력하면 데이터가 향수 레시피를 추천해준다구?!,5분,현장접수,/assets/전시회장 사진/Scent Memory.png,10:00 ~ 17:00
초등학생 이상,빅데이터,기택이의 대모험,오류 속에 숨은 진실 기택이와 데이터 디버깅 체험,5~10분,현장접수,/assets/전시회장 사진/기택이의 대모험.png,10:00 ~ 17:00
초등학생 이상,빅데이터,나는 누구일까?,빅데이터가 랜덤키워드 5개를 줄게 정답은 누가 맞출래?,5~10분,현장접수,/assets/전시회장 사진/나는 누구일까.png,10:00 ~ 17:00
초등학생 이상,빅데이터,"나의 왕자님, 공주님을 찾아라!",이상형과 관련된 단어만 알려줘! AI가 이상형을 그려줄게!,5~10분,현장접수,/assets/전시회장 사진/나의 왕자님 공주님을 찾아라!.png,10:00 ~ 17:00
초등학생 이상,빅데이터,너 내 동료가 되라!,데이터분석? 시각화? 빅데이터 전공이 궁금하면 따라와! 전공체험 해보자,5분,현장접수,,10:00 ~ 17:00
초등학생 이상,빅데이터,빅데이터 어워즈,챗봇과 함께하는 빅데이터 컨소시엄 학생들이 만든 우수 성과 체험,5분,현장접수,/assets/전시회장 사진/빅데이터 어워즈.png,10:00 ~ 17:00
